date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:35	295/295	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Aug%202023%2013:47:35%20GMT	http://localhost/robots.txt		(from )
19:17:46	339222/339222	---MC-	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2013:47:35%20GMT	http://localhost/word/	C:/sew%20creative/localhost/word/index.html	(from )
19:17:49	5842/5842	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2013:48:01%20GMT	https://gmpg.org/xfn/11	C:/sew%20creative/gmpg.org/xfn/11.html	(from http://localhost/word/)
19:17:49	40634/40634	---M--	200	added ('OK')	text/css	etag:%229eba-5ed710ec79c97%22	http://localhost/word/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.9.4	C:/sew%20creative/localhost/word/wp-content/themes/astra/assets/css/minified/main.minf3c8.css	(from http://localhost/word/)
19:17:50	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Aug%202023%2013:48:02%20GMT	http://fonts.googleapis.com/	C:/sew%20creative/fonts.googleapis.com/index.html	(from http://localhost/word/)
19:17:52	400/400	---MC-	200	added ('OK')	text/css	date:Wed,%2023%20Aug%202023%2013:48:03%20GMT	https://fonts.googleapis.com/css?family=Lato%3A400%2C700&display=fallback&ver=3.9.4	C:/sew%20creative/fonts.googleapis.com/cssd075.css	(from http://localhost/word/)
19:17:52	1641/1641	---M--	200	added ('OK')	application/rss+xml	etag:%223b635d5cb6f5af7cb28a403ba3f201f6%22	http://localhost/word/feed/	C:/sew%20creative/localhost/word/feed/index.html	(from http://localhost/word/)
19:17:52	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-5ed710ec7a461%22	http://localhost/word/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.9.4	C:/sew%20creative/localhost/word/wp-content/themes/astra/assets/css/minified/menu-animation.minf3c8.css	(from http://localhost/word/)
19:17:53	1628/1628	---M--	200	added ('OK')	application/rss+xml	etag:%22976118fa8592bde6cfeaa2f5474f3ba6%22	http://localhost/word/comments/feed/	C:/sew%20creative/localhost/word/comments/feed/index.html	(from http://localhost/word/)
19:17:53	104484/104484	---M--	200	added ('OK')	text/css	etag:%2219824-60396edc46f42%22	http://localhost/word/wp-includes/css/dist/block-library/style.min.css?ver=6.3	C:/sew%20creative/localhost/word/wp-includes/css/dist/block-library/style.minf801.css	(from http://localhost/word/)
19:17:55	10435/10435	---M--	200	added ('OK')	text/css	etag:%2228c3-5f8969b631bb7%22	http://localhost/word/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.6.6	C:/sew%20creative/localhost/word/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style174f.css	(from http://localhost/word/)
19:17:55	258673/258673	---M--	200	added ('OK')	text/css	etag:%223f271-5f8969b630701%22	http://localhost/word/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.6.6	C:/sew%20creative/localhost/word/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style174f.css	(from http://localhost/word/)
19:17:57	16351/16351	---M--	200	added ('OK')	text/css	etag:%223fdf-5ed710ec39e85%22	http://localhost/word/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min.css?ver=3.9.4	C:/sew%20creative/localhost/word/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.minf3c8.css	(from http://localhost/word/)
19:17:57	6005/6005	---M--	200	added ('OK')	text/css	etag:%221775-5ed710ec3c196%22	http://localhost/word/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min.css?ver=3.9.4	C:/sew%20creative/localhost/word/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.minf3c8.css	(from http://localhost/word/)
19:17:57	116456/116456	---M--	200	added ('OK')	text/css	etag:%221c6e8-5ed710ec38cba%22	http://localhost/word/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=3.9.4	C:/sew%20creative/localhost/word/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.minf3c8.css	(from http://localhost/word/)
19:17:58	59016/59016	---M--	200	added ('OK')	text/css	etag:%22e688-5ed4a5d12e725%22	http://localhost/word/wp-includes/css/dashicons.min.css?ver=6.3	C:/sew%20creative/localhost/word/wp-includes/css/dashicons.minf801.css	(from http://localhost/word/)
19:18:00	7222/7222	---M--	200	added ('OK')	text/css	etag:%221c36-5f8969ddc5d9d%22	http://localhost/word/wp-content/plugins/variation-swatches-woo/assets/css/swatches.css?ver=1.0.7	C:/sew%20creative/localhost/word/wp-content/plugins/variation-swatches-woo/assets/css/swatches19f6.css	(from http://localhost/word/)
19:18:00	19363/19363	---M--	200	added ('OK')	text/css	etag:%224ba3-5f89696d6973c%22	http://localhost/word/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/sew%20creative/localhost/word/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://localhost/word/)
19:18:00	81413/81413	---M--	200	added ('OK')	text/css	etag:%2213e05-5f89696d03db3%22	http://localhost/word/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.1	C:/sew%20creative/localhost/word/wp-content/plugins/elementor/assets/css/frontend-lite.minfb6f.css	(from http://localhost/word/)
19:18:02	12876/12876	---M--	200	added ('OK')	text/css	etag:%22324c-5f89696d87462%22	http://localhost/word/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/sew%20creative/localhost/word/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from http://localhost/word/)
19:18:02	1102/1102	---M--	200	added ('OK')	text/css	etag:%2244e-5f896e11940fe%22	http://localhost/word/wp-content/uploads/elementor/css/post-2887.css?ver=1680701788	C:/sew%20creative/localhost/word/wp-content/uploads/elementor/css/post-28872300.css	(from http://localhost/word/)
